msg_seq,payload_app,payload_envelope,lat_ms,wire_L3_bytes_est,packets_count,t_tx_ns,t_rx_ns,clock_skew
98,42,138,139.654,837,5,1758304203981146255,1758304204120799954,0
99,42,138,128.264,837,5,1758304804333886602,1758304804462150451,0
100,42,138,190.244,838,5,1758305404673337620,1758305404863582042,0
101,41,137,125.299,837,5,1758306004088582921,1758306004213882021,0
102,42,138,78.425,838,5,1758306604405600759,1758306604484025342,0
103,42,138,159.518,838,5,1758307203675593892,1758307203835111650,0
104,41,137,63.833,837,5,1758307804046824558,1758307804110657494,0
105,42,138,121.848,838,5,1758308404318836588,1758308404440684719,0
106,42,138,185.907,838,5,1758309004642297639,1758309004828204821,0
107,41,137,40.575,837,5,1758309604044527609,1758309604085103103,0
108,42,138,211.401,838,5,1758310204305312109,1758310204516713464,0
109,42,138,225.116,838,5,1758310804725894027,1758310804951009683,0
110,41,137,72.633,837,5,1758311404154476759,1758311404227109472,0
111,42,138,158.439,838,5,1758312004421332194,1758312004579771514,0
112,42,138,224.566,838,5,1758312603780539244,1758312604005104926,0
113,41,137,15.334,966,7,1758312605016072406,1758312605031406829,0
114,41,137,146.697,837,5,1758313204251887966,1758313204398584816,0
115,42,138,37.643,1110,9,1758313804611429537,1758313804649072720,0
