t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-19 21:20:04.883,1,1758327604518856523,1758327604883132823,42,138,364.276,0
2025-09-19 21:30:04.204,2,1758328204122737243,1758328204204890593,41,137,82.153,0
2025-09-19 21:40:04.475,3,1758328804400663455,1758328804475693618,42,138,75.03,0
2025-09-19 21:50:03.917,4,1758329403669997479,1758329403917673218,42,138,247.676,0
2025-09-19 22:00:04.396,5,1758330004133957769,1758330004396496656,41,137,262.539,0
2025-09-19 22:10:03.882,6,1758330603604173131,1758330603882462409,42,138,278.289,0
2025-09-19 22:20:04.142,7,1758331204099603745,1758331204142695272,41,137,43.092,0
2025-09-19 22:30:04.414,8,1758331804340256130,1758331804414771482,42,138,74.515,0
2025-09-19 22:40:04.908,9,1758332404609494135,1758332404908443305,39,135,298.949,0
2025-09-19 22:50:06.206,10,1758333006130177426,1758333006206981187,38,134,76.804,0
2025-09-19 23:00:06.644,11,1758333606417677859,1758333606644358133,39,135,226.68,0
2025-09-19 23:10:05.089,12,1758334204853901351,1758334205089644694,39,135,235.743,0
2025-09-19 23:20:06.528,13,1758334806285029266,1758334806528105814,39,135,243.077,0
2025-09-19 23:30:05.733,14,1758335405725226006,1758335405733816874,39,135,8.591,0
2025-09-19 23:40:03.951,15,1758336003936824637,1758336003951810357,39,135,14.986,0
2025-09-19 23:50:04.297,16,1758336604167757364,1758336604297652595,38,134,129.895,0
2025-09-20 00:00:04.575,17,1758337204505450058,1758337204575332634,39,135,69.883,0
2025-09-20 00:10:03.898,18,1758337803773985875,1758337803898633295,39,135,124.647,0
2025-09-20 00:20:06.518,19,1758338404118028777,1758338406518936011,38,134,2400.907,0
2025-09-20 00:30:06.885,20,1758339006705287465,1758339006885504321,39,135,180.217,0
2025-09-20 00:40:05.429,21,1758339605101461730,1758339605429703653,38,134,328.242,0
2025-09-20 00:50:04.664,22,1758340204636415809,1758340204664064101,39,135,27.648,0
2025-09-20 01:00:07.051,23,1758340806870453933,1758340807051555431,39,135,181.101,0
2025-09-20 01:10:07.390,24,1758341407263787208,1758341407390610748,38,134,126.824,0
2025-09-20 01:20:04.811,25,1758342004583258896,1758342004811833720,39,135,228.575,0
2025-09-20 01:30:07.342,26,1758342607019663517,1758342607342570431,38,134,322.907,0
2025-09-20 01:40:06.655,27,1758343206545739758,1758343206655004551,39,135,109.265,0
2025-09-20 01:50:07.089,28,1758343806855571990,1758343807089814090,39,135,234.242,0
2025-09-20 02:00:08.461,29,1758344408301978438,1758344408461056990,39,135,159.079,0
2025-09-20 02:10:06.658,30,1758345006642871522,1758345006658294653,39,135,15.423,0
2025-09-20 02:20:03.999,31,1758345603837494167,1758345603999527352,39,135,162.033,0
2025-09-20 02:30:06.369,32,1758346206204855580,1758346206369825465,38,134,164.97,0
2025-09-20 02:40:05.286,33,1758346804565700028,1758346805286931789,39,135,721.232,0
2025-09-20 02:50:08.325,34,1758347407470792399,1758347408325912631,39,135,855.12,0
2025-09-20 03:00:06.258,35,1758348004532278476,1758348006258322851,39,135,1726.044,0
2025-09-20 03:10:04.505,36,1758348604465610009,1758348604505021166,39,135,39.411,0
2025-09-20 03:20:06.885,37,1758349206710423446,1758349206885239520,39,135,174.816,0
2025-09-20 03:30:06.143,38,1758349806101916741,1758349806143400354,38,134,41.484,0
2025-09-20 03:40:23.583,39,1758350423360840529,1758350423583564428,39,135,222.724,0
2025-09-20 03:50:06.887,40,1758351006763683808,1758351006887421138,39,135,123.737,0
