msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down
1,1758582005349594708,1758582005628802069,279.207,42,138,1847,2041,3888,11,9
2,1758582604855869091,1758582604944056188,88.187,42,138,853,362,1215,5,3
3,1758583205165136034,1758583205213845671,48.71,41,137,835,414,1249,5,4
4,1758583805430913311,1758583805485037637,54.124,42,138,836,414,1250,5,4
5,1758584405695233772,1758584405756789434,61.556,42,138,836,414,1250,5,4
6,1758585004973165416,1758585005106572080,133.407,42,138,836,362,1198,5,3
7,1758585605295251431,1758585605518019092,222.768,42,138,836,414,1250,5,4
8,1758586205713763935,1758586205791017750,77.254,42,138,836,414,1250,5,4
9,1758586805002357007,1758586805141640362,139.283,40,136,834,362,1196,5,3
10,1758587405353663403,1758587405404215836,50.552,42,138,837,362,1199,5,3
11,1758588005608015977,1758588005846223393,238.207,42,138,837,414,1251,5,4
12,1758588605066692680,1758588605397945549,331.253,41,137,836,362,1198,5,3
13,1758589205587241745,1758589205603911324,16.67,42,138,837,362,1199,5,3
14,1758589804791447037,1758589804803698996,12.252,42,138,837,362,1199,5,3
15,1758590405008694734,1758590405114195927,105.501,38,134,829,362,1191,5,3
16,1758591005313408717,1758591005584573221,271.165,39,135,830,414,1244,5,4
17,1758591604786179288,1758591604953302328,167.123,39,135,830,414,1244,5,4
18,1758592205172230870,1758592205320041072,147.81,38,134,829,414,1243,5,4
19,1758592805526719742,1758592805748803466,222.084,39,135,830,414,1244,5,4
20,1758593404932456121,1758593404971612724,39.157,39,135,830,414,1244,5,4
21,1758594008160966351,1758594008446037355,285.071,38,134,829,414,1243,5,4
22,1758594606639251063,1758594606675411889,36.161,39,135,830,414,1244,5,4
23,1758595204871394156,1758595207450520167,2579.126,39,135,2462,606,3068,8,7
24,1758595805662302515,1758595805990066006,327.763,39,135,830,414,1244,5,4
25,1758596405199390333,1758596405445967436,246.577,38,134,829,414,1243,5,4
26,1758597005647818178,1758597005974785340,326.967,39,135,830,414,1244,5,4
27,1758597605194183951,1758597605380335685,186.152,38,134,829,414,1243,5,4
28,1758598205595123510,1758598206312163307,717.04,39,135,1374,478,1852,6,5
29,1758598805520836995,1758598805669215511,148.379,39,135,830,362,1192,5,3
30,1758599404872410720,1758599404884073360,11.663,39,135,830,362,1192,5,3
31,1758600005102803853,1758600005117838607,15.035,38,134,829,414,1243,5,4
32,1758600607334933597,1758600607399841895,64.908,39,135,830,414,1244,5,4
33,1758601205582095476,1758601205634130990,52.036,39,135,830,414,1244,5,4
34,1758601804822124740,1758601805038487128,216.362,39,135,830,414,1244,5,4
35,1758601806049786695,1758601806065217368,15.431,38,134,894,414,1308,6,4
36,1758602406268967193,1758602406301671159,32.704,38,134,829,414,1243,5,4
37,1758603005501702014,1758603005786448723,284.747,39,135,830,414,1244,5,4
38,1758603611001844162,1758603612348166939,1346.323,37,133,1912,426,2338,7,4
39,1758604207557146967,1758604207763969400,206.822,39,135,830,362,1192,5,3
40,1758604807960175559,1758604808215856083,255.681,39,135,830,414,1244,5,4
41,1758605405420478667,1758605405449760998,29.282,39,135,830,414,1244,5,4
42,1758606006649594533,1758606006664346038,14.752,39,135,830,362,1192,5,3
43,1758606604862517867,1758606605106108479,243.591,39,135,830,414,1244,5,4
44,1758607206314781434,1758607208899083231,2584.302,39,135,2462,606,3068,8,7
45,1758607808114356378,1758607808349089598,234.733,38,134,829,362,1191,5,3
46,1758608405553091984,1758608405648916984,95.825,39,135,830,362,1192,5,3
47,1758609005849647222,1758609005864850132,15.203,39,135,830,362,1192,5,3
48,1758609605082913299,1758609606376294699,1293.381,38,134,1372,426,1798,6,4
49,1758610206590304984,1758610206852564006,262.259,39,135,830,414,1244,5,4
50,1758610805065184670,1758610805229193441,164.009,38,134,829,362,1191,5,3
51,1758611407433787275,1758611407673853959,240.067,39,135,830,362,1192,5,3
52,1758612006873535303,1758612007123569359,250.034,39,135,830,414,1244,5,4
53,1758612608338043511,1758612609100016163,761.973,39,135,1374,478,1852,6,5
54,1758613205311617508,1758613205445470605,133.853,39,135,830,362,1192,5,3
55,1758613805654151283,1758613805724139291,69.988,39,135,830,362,1192,5,3
56,1758614405932803714,1758614406202305529,269.502,39,135,830,414,1244,5,4
57,1758615005394040456,1758615006550779301,1156.739,39,135,1918,542,2460,7,6
58,1758615606742927981,1758615606912184768,169.257,39,135,830,362,1192,5,3
59,1758616205129871360,1758616205328578322,198.707,38,134,829,362,1191,5,3
60,1758616805539776739,1758616805749704294,209.928,39,135,830,414,1244,5,4
61,1758617404962054261,1758617405216383746,254.329,39,135,830,414,1244,5,4
62,1758617406226908117,1758617406241914383,15.006,38,134,958,505,1463,7,5
63,1758618005431822078,1758618005577920053,146.098,39,135,830,414,1244,5,4
64,1758618606774904547,1758618606905816619,130.912,39,135,830,414,1244,5,4
65,1758619205117222649,1758619205230414739,113.192,38,134,829,362,1191,5,3
66,1758619805436254460,1758619805452156721,15.902,39,135,830,414,1244,5,4
67,1758620405654852320,1758620405841746387,186.894,39,135,830,414,1244,5,4
68,1758621006054229427,1758621006232178772,177.949,38,134,829,362,1191,5,3
69,1758621605439290177,1758621605665190255,225.9,39,135,830,362,1192,5,3
70,1758622204849564280,1758622205044363472,194.799,39,135,830,362,1192,5,3
71,1758622805253371682,1758622805461190767,207.819,38,134,829,414,1243,5,4
72,1758623405659297365,1758623405988872627,329.575,42,138,837,362,1199,5,3
73,1758624005204337290,1758624005361500139,157.163,38,134,829,362,1191,5,3
74,1758624605573398323,1758624605895088919,321.691,39,135,830,362,1192,5,3
75,1758625205112390631,1758625205326006109,213.615,38,134,829,414,1243,5,4
76,1758625805532664762,1758625805669041869,136.377,39,135,830,414,1244,5,4
77,1758626405868143467,1758626405911487915,43.344,39,135,830,414,1244,5,4
78,1758627005132595543,1758627005190164502,57.569,38,134,829,362,1191,5,3
79,1758627605406875611,1758627605518422211,111.547,39,135,830,414,1244,5,4
80,1758628205728277836,1758628205826000742,97.723,39,135,830,414,1244,5,4
81,1758628806020081669,1758628806197762708,177.681,38,134,829,414,1243,5,4
