msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
38,1758268156228666600,1758268156294811558,66.145,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
39,1758268755432530247,1758268755609119740,176.589,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
40,1758269355628317929,1758269355866178768,237.861,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
41,1758269955814733729,1758269956032099524,217.366,458,482,2271,1210,3481,44,44,2271,0.21224130339057684,1789
42,1758270556009746984,1758270556332483464,322.736,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
43,1758271156225168222,1758271156442283108,217.115,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
44,1758271756434144889,1758271756724573855,290.429,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
45,1758272355638485029,1758272355958713270,320.228,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
46,1758272955836743314,1758272956024654778,187.911,458,482,2147,1150,3297,41,41,2147,0.22449930135072194,1665
47,1758273556050840336,1758273556063032090,12.192,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
48,1758274156252907604,1758274156504107139,251.2,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
49,1758274755461618500,1758274755611227349,149.609,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
50,1758275355668445892,1758275355848040055,179.594,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
51,1758275955869255210,1758275956113155416,243.9,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
52,1758276556087408373,1758276556152038290,64.63,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
53,1758277156297901445,1758277156402612128,104.711,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
54,1758277755497931337,1758277755558531346,60.6,462,486,2123,1082,3205,40,40,2123,0.2289213377296279,1637
55,1758278355687178526,1758278355763489952,76.311,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
56,1758278955886027716,1758278955896708461,10.681,458,482,1763,762,2525,30,30,1763,0.2733976176971072,1281
57,1758279556098215757,1758279556185996702,87.781,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
58,1758280156316191880,1758280156423109064,106.917,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
59,1758280755520487363,1758280755715767809,195.28,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
60,1758281355715462750,1758281355805713751,90.251,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
61,1758281955899307225,1758281956059573655,160.266,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
62,1758282556116355724,1758282556200106458,83.751,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
63,1758283156328786673,1758283156442639184,113.853,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
64,1758283755540846463,1758283755624133607,83.287,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
65,1758284355744444924,1758284355961802942,217.358,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
66,1758284955955868973,1758284956069226886,113.358,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
67,1758285556170925660,1758285556336121531,165.196,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
68,1758286156367948161,1758286156639370768,271.423,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
69,1758286755556174098,1758286755737914689,181.741,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
70,1758287355762160358,1758287356014924335,252.764,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
71,1758287955966275432,1758287956028025340,61.75,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
72,1758288556179210421,1758288556411973672,232.763,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
73,1758289156391573544,1758289156458443357,66.87,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
74,1758289756593437795,1758289756751958023,158.52,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
75,1758290355785877817,1758290355846524587,60.647,462,486,2199,1082,3281,41,41,2199,0.22100954979536153,1713
76,1758290955989884087,1758290956180090512,190.206,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
77,1758291556204349891,1758291556302641894,98.292,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
78,1758292156411194869,1758292156423038390,11.844,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
79,1758292755615802109,1758292755627089080,11.287,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
80,1758293355821232200,1758293355832877938,11.646,462,486,1767,762,2529,30,30,1767,0.27504244482173174,1281
81,1758293956033877915,1758293956058759082,24.881,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
82,1758294556248112220,1758294556279383512,31.271,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
83,1758295156448896882,1758295156658255039,209.358,462,486,2123,1018,3141,39,39,2123,0.2289213377296279,1637
84,1758295755636728999,1758295755826626070,189.897,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
85,1758296356846286195,1758296356955163329,108.877,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
86,1758296956059101061,1758296956293550587,234.45,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
87,1758297556274302807,1758297556524707441,250.405,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
88,1758298155487717953,1758298155643934732,156.217,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
89,1758298756692513967,1758298756746968198,54.454,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
90,1758299355884575261,1758299356178703967,294.129,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
91,1758299956092429917,1758299956361995615,269.566,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
92,1758300556282159469,1758300556428560763,146.401,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
93,1758301156493153543,1758301156699811099,206.658,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
94,1758301755701617738,1758301755742130383,40.513,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
95,1758302355908371222,1758302356012687657,104.316,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
96,1758302956130787575,1758302956285035077,154.248,462,486,2047,966,3013,37,37,2047,0.23742061553492916,1561
97,1758303556345661796,1758303556461373281,115.711,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
98,1758304155550712920,1758304155581443679,30.731,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
99,1758304755746901964,1758304756032244626,285.343,462,486,1895,838,2733,33,33,1895,0.25646437994722954,1409
100,1758305355940040674,1758305355998420322,58.38,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
101,1758305956141407330,1758305956288693474,147.286,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
102,1758306556349052428,1758306556560125420,211.073,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
103,1758307155558316893,1758307155570699761,12.383,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
104,1758307755767929296,1758307755879766428,111.837,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
105,1758308355978352843,1758308355990766621,12.414,467,491,1772,762,2534,30,30,1772,0.2770880361173815,1281
106,1758308956198707530,1758308956297037555,98.33,463,487,1844,838,2682,32,32,1844,0.26409978308026033,1357
107,1758309556403747127,1758309556468998140,65.251,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
108,1758310155600541387,1758310155719698860,119.157,467,491,2280,1210,3490,44,44,2280,0.21535087719298246,1789
109,1758310755786284734,1758310756050256730,263.972,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
110,1758311355998661325,1758311356222424701,223.763,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
111,1758311956215555906,1758311956363771828,148.216,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
112,1758312555428181865,1758312555607931752,179.75,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
113,1758313155627776308,1758313155860046616,232.27,467,491,1900,838,2738,33,33,1900,0.25842105263157894,1409
114,1758313755821583373,1758313756109637424,288.054,467,491,620,78,698,3,3,620,0.7919354838709678,129
