msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
1,1758245955627996247,1758245955693585517,65.589,457,481,2042,966,3008,37,37,2042,0.23555337904015672,1561
2,1758246555853298834,1758246555921412119,68.113,457,481,2194,1146,3340,42,42,2194,0.21923427529626252,1713
3,1758247156066826502,1758247156235413898,168.587,457,481,1890,838,2728,33,33,1890,0.2544973544973545,1409
4,1758247756282934789,1758247756527904734,244.97,457,481,2118,1082,3200,40,40,2118,0.2271010387157696,1637
5,1758248356483181685,1758248356621279487,138.098,457,481,1890,838,2728,33,33,1890,0.2544973544973545,1409
6,1758248955682938578,1758248955769239084,86.301,457,481,2042,1018,3060,38,38,2042,0.23555337904015672,1561
7,1758249555863623609,1758249556107424954,243.801,457,481,1890,838,2728,33,33,1890,0.2544973544973545,1409
8,1758250156063560486,1758250156299097200,235.537,457,481,1890,838,2728,33,33,1890,0.2544973544973545,1409
9,1758250756273576485,1758250756329952870,56.376,453,477,1886,838,2724,33,33,1886,0.25291622481442205,1409
10,1758251356486525391,1758251356499966525,13.441,458,482,2147,1142,3289,41,41,2147,0.22449930135072194,1665
11,1758251955683627574,1758251955872170217,188.543,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
12,1758252555877576802,1758252555890633588,13.057,458,482,1763,762,2525,30,30,1763,0.2733976176971072,1281
13,1758253156094428122,1758253156197319972,102.892,458,482,2195,1198,3393,43,43,2195,0.21958997722095672,1713
14,1758253756308224052,1758253756426382006,118.158,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
15,1758254355516847596,1758254355682075644,165.228,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
16,1758254955720637155,1758254955997851895,277.215,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
17,1758255555925785930,1758255556159803865,234.018,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
18,1758256156144341454,1758256156433972131,289.631,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
19,1758256756335126862,1758256756647895090,312.768,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
20,1758257356516847722,1758257356769667587,252.82,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
21,1758257955720692191,1758257955768546668,47.854,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
22,1758258555928081622,1758258556130740280,202.659,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
23,1758259156141964794,1758259156166089064,24.124,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
24,1758259756350677768,1758259756406687142,56.009,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
25,1758260356551239939,1758260356670662516,119.423,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
26,1758260955743926724,1758260955833689539,89.763,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
27,1758261555933177886,1758261555975175155,41.997,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
28,1758262156148144072,1758262156175149171,27.005,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
29,1758262756356812006,1758262756405378268,48.566,458,482,1967,954,2921,36,36,1967,0.24504321301474327,1485
30,1758263355563802794,1758263355650433781,86.631,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
31,1758263955769847522,1758263955903719178,133.872,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
32,1758264555981520788,1758264556076428754,94.908,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
33,1758265156198678855,1758265156205714247,7.035,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
34,1758265756385572581,1758265756568036282,182.464,458,482,1763,762,2525,30,30,1763,0.2733976176971072,1281
35,1758266355590615799,1758266355815773618,225.158,458,482,1839,838,2677,32,32,1839,0.26209896682979883,1357
36,1758266955797964067,1758266956118097325,320.133,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
37,1758267556009856353,1758267556084675593,74.819,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
