t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-19 21:19:15.719,1,1758327555638927631,1758327555701243894,461,485,62.316,0
2025-09-19 21:29:15.977,2,1758328155852682889,1758328155973257988,461,485,120.575,0
2025-09-19 21:39:16.248,3,1758328756067188846,1758328756244466435,461,485,177.278,0
2025-09-19 21:49:16.612,4,1758329356278716833,1758329356608156199,461,485,329.439,0
2025-09-19 21:59:16.783,5,1758329956477341222,1758329956779166203,457,481,301.825,0
2025-09-19 22:09:15.960,6,1758330555662282470,1758330555957865250,461,485,295.583,0
2025-09-19 22:19:15.914,7,1758331155866022004,1758331155911399294,461,485,45.377,0
2025-09-19 22:29:16.186,8,1758331756084246785,1758331756182865462,461,485,98.619,0
2025-09-19 22:39:16.373,9,1758332356299878128,1758332356369349138,457,481,69.471,0
2025-09-19 22:49:15.694,10,1758332955501881185,1758332955691738570,458,482,189.857,0
2025-09-19 22:59:15.866,11,1758333555695490318,1758333555863105237,458,482,167.615,0
2025-09-19 23:09:15.989,12,1758334155883263781,1758334155986304986,458,482,103.041,0
2025-09-19 23:19:17.129,13,1758334757104812603,1758334757126171697,458,482,21.359,0
2025-09-19 23:29:20.592,14,1758335360318916252,1758335360589566058,458,482,270.65,0
2025-09-19 23:39:15.771,15,1758335955529584786,1758335955768733914,458,482,239.149,0
2025-09-19 23:49:19.648,16,1758336557730866789,1758336559645918621,458,482,1915.052,0
2025-09-19 23:59:16.944,17,1758337156929363032,1758337156941712245,458,482,12.349,0
2025-09-20 00:09:18.162,18,1758337758145997623,1758337758159547622,458,482,13.55,0
2025-09-20 00:19:17.354,19,1758338357338180251,1758338357351781135,458,482,13.601,0
2025-09-20 00:29:16.678,20,1758338956542891986,1758338956675510253,458,482,132.618,0
2025-09-20 00:39:15.816,21,1758339555748501297,1758339555813172225,458,482,64.671,0
2025-09-20 00:49:16.190,22,1758340155956587571,1758340156187963340,458,482,231.376,0
2025-09-20 00:59:16.280,23,1758340756172766265,1758340756276884835,458,482,104.119,0
2025-09-20 01:09:16.435,24,1758341356362426867,1758341356432450657,458,482,70.024,0
