msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down
84,1758377404542466586,1758377404600609039,58.142,39,135,830,362,1192,5,3
85,1758378004790660514,1758378004871597575,80.937,39,135,830,414,1244,5,4
86,1758378604076430166,1758378604221110841,144.681,38,134,829,362,1191,5,3
87,1758379204415588899,1758379204492226564,76.638,39,135,830,414,1244,5,4
88,1758379804684513118,1758379804764161919,79.649,39,135,830,414,1244,5,4
89,1758380403968474082,1758380404113478686,145.005,39,135,830,414,1244,5,4
90,1758381004330905515,1758381004384370769,53.465,39,135,830,362,1192,5,3
91,1758381604590758124,1758381604655923109,65.165,39,135,830,414,1244,5,4
92,1758382207857611661,1758382208111626809,254.015,39,135,1374,478,1852,6,5
93,1758382805324492683,1758382805589323118,264.83,39,135,830,362,1192,5,3
94,1758383404772643686,1758383405038850009,266.206,39,135,830,414,1244,5,4
95,1758384004248841787,1758384004466196877,217.355,38,134,829,414,1243,5,4
96,1758384604668083276,1758384604730918913,62.836,39,135,830,362,1192,5,3
97,1758385205935677260,1758385205947007242,11.33,39,135,830,362,1192,5,3
98,1758385804166694789,1758385804301212986,134.518,38,134,829,414,1243,5,4
99,1758386405511291815,1758386405525966533,14.675,39,135,830,362,1192,5,3
100,1758387005731454590,1758387006831702128,1100.248,39,135,1921,542,2463,7,6
101,1758387604048717858,1758387604183566427,134.849,38,134,830,362,1192,5,3
102,1758388207376492858,1758388209049954179,1673.461,39,135,1921,542,2463,7,6
103,1758388804262166102,1758388804653879092,391.713,38,134,830,414,1244,5,4
104,1758389405844439620,1758389406005253633,160.814,39,135,831,362,1193,5,3
105,1758390004221806110,1758390005456157578,1234.351,38,134,1374,478,1852,6,5
106,1758390604662913556,1758390604710539753,47.626,39,135,831,414,1245,5,4
107,1758391206914296424,1758391207051079407,136.783,39,135,831,414,1245,5,4
108,1758391809265823942,1758391812020273578,2754.45,38,134,1918,490,2408,7,5
109,1758392405232151085,1758392406107215384,875.064,38,134,1374,426,1800,6,4
110,1758393004318225661,1758393004619427071,301.201,39,135,831,414,1245,5,4
