msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down,msg_total_bytes_enviada,eficiencia_env,overhead_env_bytes
1,1758327555638927631,1758327555701243894,62.316,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
2,1758328155852682889,1758328155973257988,120.575,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
3,1758328756067188846,1758328756244466435,177.278,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
4,1758329356278716833,1758329356608156199,329.439,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
5,1758329956477341222,1758329956779166203,301.825,457,481,2118,1030,3148,39,39,2118,0.2271010387157696,1637
6,1758330555662282470,1758330555957865250,295.583,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
7,1758331155866022004,1758331155911399294,45.377,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
8,1758331756084246785,1758331756182865462,98.619,461,485,1894,838,2732,33,33,1894,0.25607180570221755,1409
9,1758332356299878128,1758332356369349138,69.471,457,481,1890,838,2728,33,33,1890,0.2544973544973545,1409
10,1758332955501881185,1758332955691738570,189.857,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
11,1758333555695490318,1758333555863105237,167.615,458,482,2271,1198,3469,44,44,2271,0.21224130339057684,1789
12,1758334155883263781,1758334155986304986,103.041,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
13,1758334757104812603,1758334757126171697,21.359,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
14,1758335360318916252,1758335360589566058,270.65,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
15,1758335955529584786,1758335955768733914,239.149,458,482,2195,1146,3341,42,42,2195,0.21958997722095672,1713
16,1758336557730866789,1758336559645918621,1915.052,458,482,2602,1030,3632,39,39,2602,0.18524212144504226,2120
17,1758337156929363032,1758337156941712245,12.349,458,482,2423,1286,3709,47,47,2423,0.19892695006190672,1941
18,1758337758145997623,1758337758159547622,13.55,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
19,1758338357338180251,1758338357351781135,13.601,458,482,2143,1082,3225,40,40,2143,0.22491833877741485,1661
20,1758338956542891986,1758338956675510253,132.618,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
21,1758339555748501297,1758339555813172225,64.671,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
22,1758340155956587571,1758340156187963340,231.376,458,482,2195,1146,3341,42,42,2195,0.21958997722095672,1713
23,1758340756172766265,1758340756276884835,104.119,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
24,1758341356362426867,1758341356432450657,70.024,458,482,2271,1210,3481,44,44,2271,0.21224130339057684,1789
25,1758341955567516708,1758341955659997763,92.481,458,482,2271,1158,3429,43,43,2271,0.21224130339057684,1789
26,1758342555765066829,1758342555794296134,29.229,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
27,1758343157963187348,1758343158219080426,255.893,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
28,1758343756175814714,1758343756446986558,271.172,458,482,2271,1158,3429,43,43,2271,0.21224130339057684,1789
29,1758344357365072430,1758344357529588479,164.516,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
30,1758344956571267252,1758344956830436993,259.17,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
31,1758345555779745369,1758345558108585902,2328.841,458,482,2678,1094,3772,41,41,2678,0.17998506348020912,2196
32,1758346160992933335,1758346161796103505,803.17,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
33,1758346757208437701,1758346757221673165,13.235,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
34,1758347357418053905,1758347357489687564,71.634,458,482,2143,1082,3225,40,40,2143,0.22491833877741485,1661
35,1758347955604542263,1758347955685014661,80.472,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
36,1758348557797436864,1758348558045351328,247.914,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
37,1758349158002281583,1758349158172397348,170.116,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
38,1758349757194682407,1758349757238319339,43.637,458,482,2423,1286,3709,47,47,2423,0.19892695006190672,1941
39,1758350359381409496,1758350360477731450,1096.322,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
40,1758350957587221336,1758350957748936070,161.715,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
41,1758351569791820543,1758351569817299982,25.479,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
42,1758352155994680466,1758352156113424024,118.744,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
43,1758352756212158071,1758352756405950792,193.793,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
44,1758353356421213324,1758353356460107483,38.894,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
45,1758353955615972651,1758353955643425545,27.453,458,482,2347,1274,3621,46,46,2347,0.20536855560289732,1865
46,1758354555815422715,1758354556078555034,263.132,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
47,1758355156031582036,1758355156256110552,224.529,458,482,2043,1070,3113,39,39,2043,0.2359275575134606,1561
48,1758355757248367487,1758355757258999636,10.632,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
49,1758356355458527929,1758356355469102225,10.574,458,482,1991,954,2945,36,36,1991,0.24208940231039677,1509
50,1758356958657765841,1758356958883104598,225.339,458,482,2143,1094,3237,40,40,2143,0.22491833877741485,1661
51,1758357558847501837,1758357559089775111,242.273,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
52,1758358156045559351,1758358156329005215,283.446,458,482,2347,1222,3569,45,45,2347,0.20536855560289732,1865
53,1758358758246670711,1758358758362054573,115.384,458,482,2347,1222,3569,45,45,2347,0.20536855560289732,1865
54,1758359355430509424,1758359356004792278,574.283,458,482,2043,1018,3061,38,38,2043,0.2359275575134606,1561
55,1758359955633951601,1758359955675058504,41.107,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
56,1758360555831133144,1758360555971204112,140.071,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
57,1758361165048278800,1758361165254166497,205.888,458,482,2271,1262,3533,45,45,2271,0.21224130339057684,1789
58,1758361756242116201,1758361756477042141,234.926,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
59,1758362357450623503,1758362357561252935,110.629,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
60,1758362966663306218,1758362967319366847,656.061,458,482,2119,1134,3253,41,41,2119,0.22746578574799434,1637
61,1758363555865972901,1758363556145995190,280.022,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
62,1758364156084984929,1758364156108602257,23.617,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
63,1758364757300996774,1758364757314165169,13.168,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
64,1758365355509100662,1758365355522759989,13.659,458,482,2171,1194,3365,42,42,2171,0.2220175034546292,1689
65,1758365955697970229,1758365955968086103,270.116,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
66,1758366556901856949,1758366558241556693,1339.7,458,482,2578,978,3556,38,38,2578,0.186966640806827,2096
67,1758367167130788810,1758367167143679166,12.89,458,482,1991,1058,3049,38,38,1991,0.24208940231039677,1509
68,1758367759337703009,1758367759458628223,120.925,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
69,1758368355522141383,1758368355786413376,264.272,458,482,2271,1210,3481,44,44,2271,0.21224130339057684,1789
70,1758368956732340295,1758368956876094149,143.754,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
71,1758369558940362641,1758369559198041633,257.679,458,482,2119,1082,3201,40,40,2119,0.22746578574799434,1637
72,1758370157159304157,1758370157213290485,53.986,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
73,1758370756364418089,1758370756618210010,253.792,458,482,2271,1158,3429,43,43,2271,0.21224130339057684,1789
74,1758371358572355278,1758371358646767202,74.412,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
75,1758371955758720212,1758371956082734672,324.014,458,482,2451,1450,3901,50,50,2451,0.1966544267645859,1969
76,1758372557942137910,1758372558145613080,203.475,458,482,2171,1118,3289,41,41,2171,0.2220175034546292,1689
77,1758373156164200418,1758373156191904931,27.705,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
78,1758373757373178224,1758373757386820468,13.642,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
79,1758374355576952673,1758374355626986034,50.033,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
80,1758374955775731319,1758374955788506674,12.775,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
81,1758375555982759420,1758375556168688930,185.93,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
82,1758376156199410142,1758376156440635132,241.225,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
83,1758376758387565002,1758376758554971829,167.407,458,482,1763,762,2525,30,30,1763,0.2733976176971072,1281
84,1758377355569528925,1758377355754663987,185.135,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
85,1758377955774915010,1758377956025599073,250.684,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
86,1758378555981465440,1758378556297478830,316.013,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
87,1758379156198042941,1758379156261533279,63.49,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
88,1758379756410910947,1758379756532967518,122.057,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
89,1758380356620827080,1758380356803419836,182.593,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
90,1758380955820646333,1758380955845200356,24.554,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
91,1758381556034485879,1758381556117402929,82.917,458,482,1891,838,2729,33,33,1891,0.2548915917503966,1409
92,1758382156248890604,1758382156381860995,132.97,458,482,2347,1274,3621,46,46,2347,0.20536855560289732,1865
93,1758382756437820830,1758382756695148100,257.327,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
94,1758383355643936059,1758383355794798384,150.862,458,482,2043,966,3009,37,37,2043,0.2359275575134606,1561
95,1758383955847232363,1758383955949046362,101.814,458,482,2271,1210,3481,44,44,2271,0.21224130339057684,1789
96,1758384557062927711,1758384557325518895,262.591,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
97,1758385156277007520,1758385156524917530,247.91,458,482,2195,1094,3289,41,41,2195,0.21958997722095672,1713
98,1758385756474450782,1758385756526026652,51.576,458,482,1967,902,2869,35,35,1967,0.24504321301474327,1485
99,1758386355660425698,1758386355814368702,153.943,458,482,2119,1030,3149,39,39,2119,0.22746578574799434,1637
100,1758386955846526192,1758386955859154250,12.628,463,487,2200,1094,3294,41,41,2200,0.22136363636363637,1713
101,1758387556033981508,1758387556046710428,12.729,463,487,2148,1082,3230,40,40,2148,0.22672253258845437,1661
102,1758388157247893638,1758388157457425884,209.532,463,487,1920,902,2822,34,34,1920,0.25364583333333335,1433
103,1758388756442429485,1758388757813003754,1370.574,463,487,2840,1274,4114,46,46,2840,0.1714788732394366,2353
104,1758389355648092338,1758389358270714798,2622.622,459,483,2680,1094,3774,41,41,2680,0.1802238805970149,2197
105,1758389955843991076,1758389955897387098,53.396,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
106,1758390557052615927,1758390559300009748,2247.394,459,483,2680,1094,3774,41,41,2680,0.1802238805970149,2197
107,1758391156258899263,1758391156556827955,297.929,459,483,2196,1094,3290,41,41,2196,0.21994535519125682,1713
108,1758391757449364050,1758391757497035747,47.672,463,487,2276,1210,3486,44,44,2276,0.2139718804920914,1789
109,1758392357643750012,1758392357848068221,204.318,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
110,1758392957841733136,1758392957943946900,102.214,463,487,2200,1094,3294,41,41,2200,0.22136363636363637,1713
111,1758393556053749137,1758393556344865846,291.117,463,487,2276,1158,3434,43,43,2276,0.2139718804920914,1789
112,1758394158239288329,1758394158355400859,116.113,463,487,2200,1146,3346,42,42,2200,0.22136363636363637,1713
113,1758394758447178198,1758394758492107464,44.929,463,487,2200,1094,3294,41,41,2200,0.22136363636363637,1713
114,1758395356652272117,1758395356756111460,103.839,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
115,1758395955835868433,1758395955954374247,118.506,463,487,2200,1094,3294,41,41,2200,0.22136363636363637,1713
116,1758396558051626499,1758396558064424569,12.798,459,483,2120,1030,3150,39,39,2120,0.2278301886792453,1637
117,1758397156262243512,1758397156275884177,13.641,463,487,2200,1094,3294,41,41,2200,0.22136363636363637,1713
118,1758397758456834858,1758397758470690087,13.855,463,487,2148,1082,3230,40,40,2148,0.22672253258845437,1661
119,1758398356660187848,1758398356869293512,209.106,463,487,1896,838,2734,33,33,1896,0.2568565400843882,1409
120,1758398959859773926,1758398960003748123,143.974,463,487,2504,1350,3854,49,49,2504,0.1944888178913738,2017
121,1758399556073444272,1758399556358673029,285.229,463,487,2276,1158,3434,43,43,2276,0.2139718804920914,1789
122,1758400156284042090,1758400156305905222,21.863,459,483,2196,1094,3290,41,41,2196,0.21994535519125682,1713
123,1758400755479818133,1758400755637681245,157.863,463,487,2124,1030,3154,39,39,2124,0.2292843691148776,1637
124,1758401358668607554,1758401358703702314,35.095,463,487,2276,1210,3486,44,44,2276,0.2139718804920914,1789
125,1758401957853818315,1758401958126307546,272.489,459,483,2196,1094,3290,41,41,2196,0.21994535519125682,1713
126,1758402556071193423,1758402556196507638,125.314,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
127,1758403156288552370,1758403156381946229,93.394,459,483,2120,1030,3150,39,39,2120,0.2278301886792453,1637
128,1758403758501210969,1758403758563224347,62.013,459,483,2196,1094,3290,41,41,2196,0.21994535519125682,1713
129,1758404358709221600,1758404358891775755,182.554,463,487,2276,1210,3486,44,44,2276,0.2139718804920914,1789
130,1758404958908570149,1758404959059967217,151.397,463,487,2276,1210,3486,44,44,2276,0.2139718804920914,1789
131,1758405556125420712,1758405556138970035,13.549,463,487,2048,966,3014,37,37,2048,0.23779296875,1561
132,1758406161317114307,1758406161330018648,12.904,463,487,2148,1082,3230,40,40,2148,0.22672253258845437,1661
133,1758406755520542120,1758406756290448653,769.907,459,483,2120,1030,3150,39,39,2120,0.2278301886792453,1637
