t_rx_iso,msg_seq,t_tx_ns,t_rx_ns,payload_app,payload_envelope,lat_ms,clock_skew
2025-09-23 08:09:19.715,74,1758625757964289630,1758625759711434274,458,482,1747.145,0
2025-09-23 08:19:16.330,75,1758626356184469526,1758626356327485949,458,482,143.016,0
2025-09-23 08:29:16.518,76,1758626956384449083,1758626956516026140,458,482,131.577,0
2025-09-23 08:39:16.894,77,1758627556577651997,1758627556892086397,458,482,314.434,0
2025-09-23 08:49:15.924,78,1758628155758168993,1758628155921446043,458,482,163.277,0
2025-09-23 08:59:16.092,79,1758628755969959920,1758628756089717418,458,482,119.757,0
2025-09-23 09:09:16.340,80,1758629356190357125,1758629356337169997,458,482,146.813,0
2025-09-23 09:19:16.485,81,1758629956401419005,1758629956482527228,458,482,81.108,0
2025-09-23 09:29:15.856,82,1758630555607453004,1758630555853962921,462,486,246.51,0
2025-09-23 09:39:15.903,83,1758631155811941296,1758631155900586864,462,486,88.646,0
2025-09-23 09:49:16.341,84,1758631756026864837,1758631756338356838,462,486,311.492,0
2025-09-23 09:59:16.389,85,1758632356246014589,1758632356386379459,462,486,140.365,0
2025-09-23 10:09:16.505,86,1758632956456226709,1758632956502811914,462,486,46.585,0
2025-09-23 10:19:15.888,87,1758633555647994036,1758633555885862923,462,486,237.869,0
2025-09-23 10:29:16.870,88,1758634156853868727,1758634156867004838,462,486,13.136,0
2025-09-23 10:39:16.117,89,1758634756070441952,1758634756113584829,462,486,43.143,0
2025-09-23 10:49:16.416,90,1758635356283458307,1758635356412638872,462,486,129.181,0
2025-09-23 10:59:16.503,91,1758635956477480664,1758635956500420455,462,486,22.94,0
2025-09-23 11:09:15.910,92,1758636555686363845,1758636555907013695,462,486,220.65,0
2025-09-23 11:19:16.180,93,1758637155894107586,1758637156177448673,462,486,283.341,0
2025-09-23 11:29:16.220,94,1758637756117952994,1758637756217652119,462,486,99.699,0
2025-09-23 11:39:16.394,95,1758638356329515955,1758638356390931239,462,486,61.415,0
2025-09-23 11:49:16.589,96,1758638956521200499,1758638956586544704,462,486,65.344,0
2025-09-23 11:59:15.836,97,1758639555707351856,1758639555832998161,462,486,125.646,0
2025-09-23 12:09:16.152,98,1758640155910252245,1758640156149199477,462,486,238.947,0
2025-09-23 12:19:16.344,99,1758640756131090982,1758640756341648506,462,486,210.558,0
2025-09-23 12:29:17.661,100,1758641357347846988,1758641357658228200,463,487,310.381,0
2025-09-23 12:39:17.856,101,1758641957543771187,1758641957852925657,467,491,309.154,0
2025-09-23 12:49:16.774,102,1758642556724453774,1758642556771504261,467,491,47.05,0
2025-09-23 12:59:15.986,103,1758643155933201077,1758643155984121877,467,491,50.921,0
2025-09-23 13:09:16.290,104,1758643756154951555,1758643756288098415,463,487,133.147,0
2025-09-23 13:19:16.563,105,1758644356374320072,1758644356560568310,467,491,186.248,0
2025-09-23 13:29:16.883,106,1758644956584328043,1758644956880454691,463,487,296.127,0
2025-09-23 13:39:16.054,107,1758645555790041407,1758645556050921029,467,491,260.88,0
