msg_seq,t_tx_ns,t_rx_ns,lat_ms,payload_app,payload_envelope,wire_up_l3_bytes,wire_down_l3_bytes,wire_l3_bytes,frames_up,frames_down
1,1758246004347442005,1758246004630469549,283.028,42,138,1899,2041,3940,12,9
2,1758246603868449983,1758246604178154258,309.704,39,135,846,362,1208,5,3
3,1758247204381063766,1758247204597196693,216.133,39,135,829,414,1243,5,4
4,1758247803795466758,1758247803886447527,90.981,39,135,829,362,1191,5,3
5,1758248404110055012,1758248404125534349,15.479,38,134,828,362,1190,5,3
6,1758249004339419300,1758249004629390631,289.971,39,135,829,362,1191,5,3
7,1758249603840331565,1758249603853063235,12.732,39,135,829,362,1191,5,3
8,1758250204080686369,1758250204223705573,143.019,38,134,828,414,1242,5,4
9,1758250803412427147,1758250803639560689,227.134,39,135,829,362,1191,5,3
10,1758251403833554698,1758251404078390150,244.835,39,135,830,414,1244,5,4
11,1758252004292607618,1758252004413055207,120.448,39,135,830,414,1244,5,4
12,1758252603618876558,1758252603681188320,62.312,39,135,830,362,1192,5,3
13,1758253203885208332,1758253204121549798,236.341,39,135,830,414,1244,5,4
14,1758253804323767853,1758253804399422818,75.655,39,135,830,414,1244,5,4
15,1758254403582043810,1758254403878674867,296.631,39,135,830,414,1244,5,4
16,1758255004096107511,1758255004196780813,100.673,38,134,829,362,1191,5,3
17,1758255604406122056,1758255604675654528,269.532,39,135,830,414,1244,5,4
18,1758256203880076853,1758256204021023595,140.947,39,135,830,362,1192,5,3
19,1758256804238828862,1758256804316393309,77.564,38,134,829,414,1243,5,4
20,1758257404528884813,1758257404694559190,165.674,39,135,830,414,1244,5,4
21,1758258003883780959,1758258004037880747,154.1,39,135,830,362,1192,5,3
22,1758258604248539514,1758258604406179837,157.64,38,134,829,414,1243,5,4
23,1758259203607710869,1758259203780810773,173.1,39,135,830,362,1192,5,3
24,1758259803993706594,1758259804023382214,29.676,39,135,830,414,1244,5,4
25,1758260404248627222,1758260404287408894,38.782,38,134,829,362,1191,5,3
26,1758261004500610058,1758261004680099920,179.49,39,135,830,414,1244,5,4
27,1758261603888758141,1758261603944130491,55.372,39,135,830,414,1244,5,4
28,1758262204164945246,1758262204396054183,231.109,38,134,829,414,1243,5,4
29,1758262804585793929,1758262804601397542,15.604,39,135,830,362,1192,5,3
30,1758263403795442370,1758263403810690228,15.248,39,135,830,362,1192,5,3
31,1758264004021402923,1758264004182741002,161.338,38,134,829,414,1243,5,4
32,1758264604390422866,1758264604615183529,224.761,39,135,830,362,1192,5,3
33,1758265203820095901,1758265204114728346,294.632,39,135,830,414,1244,5,4
34,1758265804333589076,1758265804492143346,158.554,39,135,830,362,1192,5,3
35,1758266403679175660,1758266403740034184,60.859,39,135,830,414,1244,5,4
36,1758267003931253977,1758267003989567187,58.313,39,135,830,414,1244,5,4
37,1758267604192311771,1758267604315393440,123.082,38,134,1436,1391,2827,12,10
38,1758268204509735279,1758268204833627647,323.892,39,135,830,414,1244,5,4
39,1758268804049168850,1758268804147976078,98.807,38,134,829,362,1191,5,3
40,1758269404360009791,1758269404492727249,132.717,39,135,830,362,1192,5,3
41,1758270003698308259,1758270003743604342,45.296,39,135,830,414,1244,5,4
42,1758270603962691714,1758270604255160791,292.469,39,135,830,414,1244,5,4
43,1758271204448638216,1758271204500873806,52.236,39,135,830,414,1244,5,4
44,1758271803692096875,1758271803720139884,28.043,39,135,830,362,1192,5,3
45,1758272403915371773,1758272404114918452,199.547,39,135,830,414,1244,5,4
46,1758273004325750568,1758273004597979393,272.229,39,135,830,414,1244,5,4
47,1758273603804018450,1758273604050978103,246.96,39,135,830,414,1244,5,4
48,1758274204268141781,1758274204425212338,157.071,38,134,829,362,1191,5,3
49,1758274804613428463,1758274804628574389,15.146,39,135,830,362,1192,5,3
50,1758275403819307412,1758275404079434460,260.127,39,135,830,414,1244,5,4
51,1758276004293800128,1758276004308073679,14.274,39,135,830,362,1192,5,3
52,1758276604516096287,1758276604690843111,174.747,39,135,830,362,1192,5,3
53,1758277205896798206,1758277205921634015,24.836,39,135,830,362,1192,5,3
54,1758277804146344576,1758277804404534342,258.19,41,137,836,414,1250,5,4
55,1758278403620882380,1758278403687667066,66.785,39,135,830,414,1244,5,4
56,1758279003903746903,1758279003974074647,70.328,39,135,830,362,1192,5,3
57,1758279604168739707,1758279604419930713,251.191,38,134,829,414,1243,5,4
58,1758280203616819986,1758280203787451515,170.632,39,135,830,362,1192,5,3
59,1758280804002230685,1758280804248376536,246.146,37,133,828,414,1242,5,4
60,1758281403461527908,1758281403693868061,232.34,39,135,830,414,1244,5,4
61,1758282003903908558,1758282003926405936,22.497,39,135,830,362,1192,5,3
62,1758282604133191259,1758282604228130795,94.94,38,134,829,414,1243,5,4
63,1758283204414184775,1758283204674831317,260.647,39,135,830,414,1244,5,4
64,1758283803870479086,1758283803879997871,9.519,39,135,830,362,1192,5,3
65,1758284404099373894,1758284404195902714,96.529,38,134,829,362,1191,5,3
66,1758285003405982567,1758285003687834541,281.852,39,135,830,362,1192,5,3
67,1758285603897659410,1758285603954004409,56.345,39,135,830,362,1192,5,3
68,1758286204178457800,1758286204256070516,77.613,38,134,829,414,1243,5,4
69,1758286804468633632,1758286804584881793,116.248,39,135,830,362,1192,5,3
70,1758287403778775475,1758287403938274586,159.499,39,135,830,362,1192,5,3
71,1758288004147521762,1758288004217036555,69.515,38,134,829,414,1243,5,4
72,1758288604409930986,1758288604718098861,308.168,39,135,1374,530,1904,6,6
73,1758289203916536531,1758289203931428468,14.892,39,135,830,362,1192,5,3
74,1758289804153175928,1758289804357595707,204.42,38,134,829,414,1243,5,4
75,1758290403568661780,1758290403584331350,15.67,42,138,837,362,1199,5,3
76,1758291003793115047,1758291004104686633,311.572,42,138,1388,478,1866,6,5
77,1758291604301101946,1758291604534467339,233.365,42,138,837,414,1251,5,4
78,1758292203733314957,1758292203755769990,22.455,42,138,837,362,1199,5,3
79,1758292803961347633,1758292803982091633,20.744,42,138,837,362,1199,5,3
80,1758293404199205524,1758293404222065636,22.86,41,137,836,362,1198,5,3
81,1758294004433208099,1758294004596457379,163.249,42,138,837,414,1251,5,4
82,1758294603800866364,1758294603897235916,96.37,42,138,837,362,1199,5,3
83,1758295204119332934,1758295204242388001,123.055,41,137,836,362,1198,5,3
84,1758295804453868183,1758295804670595735,216.728,42,138,837,414,1251,5,4
85,1758296403861288424,1758296403962346259,101.058,42,138,837,414,1251,5,4
86,1758297004161201632,1758297004214582705,53.381,38,134,829,414,1243,5,4
87,1758297604402812274,1758297604523112861,120.301,39,135,830,414,1244,5,4
88,1758298203715065149,1758298203877997559,162.932,39,135,830,362,1192,5,3
